bill_id,date,chamber,sequence,action
1385578,2021-03-02,Assembly,5,"Re-referred to Com. on ELECTIONS."
1385578,2021-04-29,Assembly,6,"In committee: Set, first hearing. Held without recommendation."
1385579,2020-12-07,Assembly,1,"Introduced. To print."
1385579,2020-12-08,Assembly,2,"From printer."
1385579,2021-03-04,Assembly,3,"Referred to Com. on JUD."
1385579,2021-03-25,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on JUD. Amended."
1385579,2021-03-26,Assembly,5,"Re-referred to Com. on JUD."
1385579,2021-04-13,Assembly,6,"From committee: Be adopted. Ordered to Third Reading. (Ayes 7. Noes 3.) (April 13)."
1385580,2020-12-07,Assembly,1,"Read first time. To print."
1385580,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385580,2021-02-12,Assembly,3,"Referred to Coms. on G.O. and HEALTH."
1385580,2021-02-16,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on G.O. Read second time and amended."
1385580,2021-02-17,Assembly,5,"Re-referred to Com. on G.O."
1385580,2021-04-14,Assembly,6,"From committee chair, with author's amendments: Amend, and re-refer to Com. on G.O. Read second time and amended."
1385580,2021-04-15,Assembly,7,"Re-referred to Com. on G.O."
1385580,2021-04-15,Assembly,8,"Assembly Rule 56 suspended."
1385580,2021-04-15,Assembly,9,"(pending re-refer to Com. on HEALTH.)"
1385580,2021-04-23,Assembly,10,"Coauthors revised."
1385580,2021-04-26,Assembly,11,"From committee: Do pass and re-refer to Com. on HEALTH. (Ayes 20. Noes 0.) (April 22). Re-referred to Com. on HEALTH."
1385580,2021-04-29,Assembly,12,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 15. Noes 0.) (April 27)."
1385580,2021-05-03,Assembly,13,"Read second time and amended."
1385580,2021-05-04,Assembly,14,"Re-referred to Com. on APPR."
1385580,2021-05-04,Assembly,15,"Coauthors revised."
1385580,2021-05-12,Assembly,16,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385581,2020-12-07,Assembly,1,"Read first time. To print."
1385581,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385581,2021-01-11,Assembly,3,"Referred to Com. on E.M."
1385583,2020-12-07,Assembly,1,"Read first time. To print."
1385583,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385583,2021-01-11,Assembly,3,"Referred to Coms. on C. & C. and L. GOV."
1385583,2021-04-15,Assembly,4,"Coauthors revised."
1385583,2021-04-15,Assembly,5,"From committee: Do pass and re-refer to Com. on L. GOV. (Ayes 9. Noes 1.) (April 14). Re-referred to Com. on L. GOV."
1385583,2021-04-29,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 2.) (April 28). Re-referred to Com. on APPR."
1385583,2021-05-12,Assembly,7,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385584,2020-12-07,Assembly,1,"Read first time. To print."
1385584,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385584,2021-01-11,Assembly,3,"Referred to Com. on HEALTH."
1385584,2021-04-14,Assembly,4,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 15. Noes 0.) (April 13). Re-referred to Com. on APPR."
1385584,2021-04-21,Assembly,5,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385585,2020-12-07,Assembly,1,"Read first time. To print."
1385585,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385585,2021-01-11,Assembly,3,"Referred to Coms. on U. & E. and NAT. RES."
1385585,2021-03-16,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on U. & E. Read second time and amended."
1385585,2021-03-17,Assembly,5,"Re-referred to Com. on U. & E."
1385585,2021-04-28,Assembly,6,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 15. Noes 0.) (April 21)."
1385585,2021-04-29,Assembly,7,"Read second time and amended."
1385585,2021-05-03,Assembly,8,"Re-referred to Com. on APPR."
1385585,2021-05-12,Assembly,9,"Coauthors revised."
1385585,2021-05-12,Assembly,10,"From committee: Do pass. To Consent Calendar. (Ayes 16. Noes 0.) (May 12)."
1385585,2021-05-13,Assembly,11,"Read second time. Ordered to Consent Calendar."
1385586,2020-12-07,Assembly,1,"Read first time. To print."
1385586,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385586,2021-01-11,Assembly,3,"Without reference to committee."
1385586,2021-01-11,Assembly,4,"Ordered to second reading."
1385586,2021-01-11,Assembly,5,"(Ayes 46. Noes 13. Page 108.)"
1385586,2021-01-12,Assembly,6,"Read second time. Ordered to third reading."
1385586,2021-01-15,Assembly,7,"Read third time. Passed. Ordered to the Senate. (Ayes 48. Noes 13. Page 163.)"
1385586,2021-01-15,Senate,8,"In Senate. Read first time. To Com. on RLS. for assignment."
1385586,2021-01-25,Senate,9,"Referred to Com. on B. & F.R."
1385586,2021-02-16,Senate,10,"Joint Rule 62(a), file notice suspended."
1385586,2021-02-17,Senate,11,"From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."
1385586,2021-02-18,Senate,12,"From committee: Do pass. (Ayes 12. Noes 3.) (February 18)."
1385586,2021-02-18,Senate,13,"Read second time. Ordered to third reading."
1385586,2021-02-22,Senate,14,"Read third time. Passed. Ordered to the Assembly."
1385586,2021-02-22,Assembly,15,"In Assembly. Concurrence in Senate amendments pending. May be considered on or after February 24 pursuant to Assembly Rule 77."
1385586,2021-02-22,Assembly,16,"Assembly Rule 77 suspended."
1385586,2021-02-22,Assembly,17,"Assembly Rule 63 suspended."
1385586,2021-02-22,Assembly,18,"Senate amendments concurred in. To Engrossing and Enrolling."
1385586,2021-02-22,,19,"Enrolled and presented to the Governor at 4 p.m."
1385586,2021-02-23,,20,"Approved by the Governor."
1385586,2021-02-23,,21,"Chaptered by Secretary of State - Chapter 4, Statutes of 2021."
1385587,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385587,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385587,2021-01-28,Senate,3,"Referred to Coms. on ED. and JUD."
1385587,2021-02-23,Senate,4,"Set for hearing March 10."
1385587,2021-03-10,Senate,5,"From committee: Do pass and re-refer to Com. on JUD. (Ayes 6. Noes 0.) (March 10). Re-referred to Com. on JUD."
1385587,2021-03-16,Senate,6,"Set for hearing March 23."
1385587,2021-03-24,Senate,7,"From committee: Do pass and re-refer to Com. on APPR with recommendation: To consent calendar. (Ayes 11. Noes 0.) (March 23). Re-referred to Com. on APPR."
1385587,2021-03-25,Senate,8,"Set for hearing April 5."
1385587,2021-04-05,Senate,9,"April 5 hearing: Placed on APPR suspense file."
1385587,2021-03-24,Senate,10,"From committee: Do pass and re-refer to Com. on APPR with recommendation: To consent calendar. (Ayes 11. Noes 0. Page 590.) (March 23). Re-referred to Com. on APPR."
1385587,2021-05-14,Senate,11,"Set for hearing May 20."
1385588,2020-12-07,Assembly,1,"Read first time. To print."
1385588,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385588,2021-01-11,Assembly,3,"Referred to Com. on TRANS."
1385588,2021-03-15,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on TRANS. Read second time and amended."
1385588,2021-03-16,Assembly,5,"Re-referred to Com. on TRANS."
1385588,2021-03-23,Assembly,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 13. Noes 1.) (March 22). Re-referred to Com. on APPR."
1385588,2021-04-14,Assembly,7,"From committee: Do pass. (Ayes 15. Noes 0.) (April 14)."
1385588,2021-04-15,Assembly,8,"Read second time. Ordered to third reading."
1385588,2021-04-22,Assembly,9,"Read third time. Passed. Ordered to the Senate."
1385588,2021-04-26,Senate,10,"In Senate. Read first time. To Com. on RLS. for assignment."
1385588,2021-05-12,Senate,11,"Referred to Coms. on TRANS. and PUB. S."
1385589,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385589,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385589,2021-01-28,Senate,3,"Referred to Com. on GOV. & F."
1385589,2021-04-28,Senate,4,"Set for hearing May 6."
1385589,2021-04-29,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on GOV. & F."
1385589,2021-05-10,Senate,6,"From committee: Do pass as amended. (Ayes 5. Noes 0.) (May 6)."
1385589,2021-05-11,Senate,7,"Read second time and amended. Ordered to third reading."
1385590,2020-12-07,Assembly,1,"Read first time. To print."
1385590,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385590,2021-02-18,Assembly,3,"Referred to Com. on INS."
1385590,2021-02-18,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on INS. Read second time and amended."
1385590,2021-02-22,Assembly,5,"Re-referred to Com. on INS."
1385591,2020-12-07,Assembly,1,"Read first time. To print."
1385591,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385591,2021-01-11,Assembly,3,"Referred to Com. on NAT. RES."
1385591,2021-04-14,Assembly,4,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 11. Noes 0.) (April 14). Re-referred to Com. on APPR."
1385591,2021-04-28,Assembly,5,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385592,2020-12-07,Assembly,1,"Read first time. To print."
1385592,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385592,2021-01-11,Assembly,3,"Referred to Com. on A. & A.R."
1385592,2021-04-29,Assembly,4,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (April 28). Re-referred to Com. on APPR."
1385593,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385593,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385593,2021-01-28,Senate,3,"Referred to Com. on JUD."
1385593,2021-02-24,Senate,4,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on JUD."
1385593,2021-03-01,Senate,5,"Set for hearing March 9."
1385593,2021-03-04,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on JUD."
1385593,2021-03-10,Senate,7,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 11. Noes 0. Page 422.) (March 9). Re-referred to Com. on APPR."
1385593,2021-03-12,Senate,8,"Set for hearing March 22."
1385593,2021-03-16,Senate,9,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on APPR."
1385593,2021-03-22,Senate,10,"From committee: Be ordered to second reading pursuant to Senate Rule 28.8."
1385593,2021-03-23,Senate,11,"Read second time. Ordered to third reading."
1385593,2021-04-05,Senate,12,"Read third time. Passed. (Ayes 38. Noes 0.) Ordered to the Assembly."
1385593,2021-04-05,Assembly,13,"In Assembly. Read first time. Held at Desk."
1385593,2021-05-13,Assembly,14,"Referred to Com. on JUD."
1385594,2020-12-07,Senate,1,"Introduced. Read first time. To Com. on RLS. for assignment. To print."
1385594,2020-12-08,Senate,2,"From printer. May be acted upon on or after January 7."
1385594,2021-01-28,Senate,3,"Referred to Com. on HEALTH."
1385594,2021-02-17,Senate,4,"Set for hearing March 10."
1385594,2021-02-25,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on HEALTH."
1385594,2021-03-15,Senate,6,"From committee: Do pass as amended and re-refer to Com. on APPR. (Ayes 11. Noes 0. Page 456.) (March 10)."
1385594,2021-03-16,Senate,7,"Read second time and amended. Re-referred to Com. on APPR."
1385594,2021-04-09,Senate,8,"Set for hearing April 19."
1385594,2021-04-20,Senate,9,"April 19 hearing: Placed on APPR suspense file."
1385594,2021-05-14,Senate,10,"Set for hearing May 20."
1385595,2020-12-07,Assembly,1,"Read first time. To print."
1385595,2020-12-08,Assembly,2,"From printer. May be heard in committee January 7."
1385595,2021-01-11,Assembly,3,"Referred to Com. on ED."
1385595,2021-03-29,Assembly,4,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (March 24)."
1385595,2021-04-05,Assembly,5,"Read second time and amended."
1385595,2021-04-06,Assembly,6,"Re-referred to Com. on APPR."
1385595,2021-04-21,Assembly,7,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385753,2020-12-08,Assembly,1,"Introduced. To print."
1385753,2020-12-09,Assembly,2,"From printer. May be heard in committee January 8."
1385753,2021-01-11,Assembly,3,"Read first time."
1385753,2021-02-12,Assembly,4,"Referred to Com. on HEALTH."
1385753,2021-02-16,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HEALTH. Read second time and amended."
1385753,2021-02-17,Assembly,6,"Re-referred to Com. on HEALTH."
1385753,2021-03-30,Assembly,7,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HEALTH. Read second time and amended."
1385753,2021-04-05,Assembly,8,"Re-referred to Com. on HEALTH."
1385753,2021-04-28,Assembly,9,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 13. Noes 1.) (April 27). Re-referred to Com. on APPR."
1385753,2021-05-05,Assembly,10,"Coauthors revised."
1385753,2021-05-05,Assembly,11,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385754,2020-12-08,Assembly,1,"Introduced. To print."
1385754,2020-12-09,Assembly,2,"From printer."
1385754,2021-03-18,Assembly,3,"Referred to Com. on ELECTIONS."
1385755,2020-12-08,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1385755,2020-12-09,Senate,2,"From printer. May be acted upon on or after January 8."
1385755,2021-01-11,Senate,3,"Read first time."
1385755,2021-01-28,Senate,4,"Referred to Com. on TRANS."
1385755,2021-03-10,Senate,5,"Set for hearing April 13."
1385755,2021-03-10,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on TRANS."
1385755,2021-04-13,Senate,7,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 16. Noes 0.) (April 13). Re-referred to Com. on APPR."
1385755,2021-04-21,Senate,8,"Set for hearing May 3."
1385755,2021-04-26,Senate,9,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on APPR."
1385755,2021-04-29,Senate,10,"May 3 hearing postponed by committee."
1385755,2021-04-30,Senate,11,"Set for hearing May 10."
1385755,2021-05-10,Senate,12,"May 10 hearing: Placed on APPR suspense file."
1385755,2021-05-14,Senate,13,"Set for hearing May 20."
1385756,2020-12-08,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1385756,2020-12-09,Senate,2,"From printer. May be acted upon on or after January 8."
1385756,2021-01-11,Senate,3,"Read first time."
1385756,2021-01-28,Senate,4,"Referred to Com. on ED."
1385756,2021-02-23,Senate,5,"Set for hearing March 10."
1385756,2021-03-02,Senate,6,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on ED."
1385756,2021-03-09,Senate,7,"March 10 set for first hearing canceled at the request of author."
1385756,2021-03-12,Senate,8,"Set for hearing March 17."
1385756,2021-03-17,Senate,9,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 2.) (March 17). Re-referred to Com. on APPR."
1385756,2021-03-19,Senate,10,"Set for hearing April 5."
1385756,2021-04-05,Senate,11,"April 5 hearing: Placed on APPR suspense file."
1385756,2021-05-14,Senate,12,"Set for hearing May 20."
1385862,2020-12-09,Assembly,1,"Introduced. To print."
1385862,2020-12-10,Assembly,2,"From printer. May be heard in committee January 9."
1385862,2021-01-11,Assembly,3,"Read first time."
1385862,2021-01-11,Assembly,4,"Referred to Coms. on AGING & L.T.C. and HEALTH."
1385862,2021-03-30,Assembly,5,"In committee: Hearing postponed by committee."
1385862,2021-04-20,Assembly,6,"From committee: Do pass and re-refer to Com. on HEALTH with recommendation: To Consent Calendar. (Ayes 7. Noes 0.) (April 20). Re-referred to Com. on HEALTH."
1385862,2021-04-28,Assembly,7,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. with recommendation: To Consent Calendar. (Ayes 15. Noes 0.) (April 27)."
1385862,2021-04-29,Assembly,8,"Read second time and amended."
1385862,2021-05-03,Assembly,9,"Re-referred to Com. on APPR."
1385862,2021-05-12,Assembly,10,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385863,2020-12-09,Assembly,1,"Introduced. To print."
1385863,2020-12-10,Assembly,2,"From printer. May be heard in committee January 9."
1385863,2021-01-11,Assembly,3,"Read first time."
1385863,2021-02-12,Assembly,4,"Referred to Coms. on ED. and HIGHER ED."
1385863,2021-02-12,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1385863,2021-02-16,Assembly,6,"Re-referred to Com. on ED."
1385863,2021-03-24,Assembly,7,"In committee: Hearing postponed by committee."
1385863,2021-04-08,Assembly,8,"From committee: Do pass and re-refer to Com. on HIGHER ED. (Ayes 7. Noes 0.) (April 7). Re-referred to Com. on HIGHER ED."
1385863,2021-04-26,Assembly,9,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 12. Noes 0.) (April 22)."
1385863,2021-04-27,Assembly,10,"Read second time and amended."
1385863,2021-04-28,Assembly,11,"Re-referred to Com. on APPR."
1385863,2021-05-12,Assembly,12,"In committee: Set, first hearing. Referred to APPR. suspense file."
1385864,2020-12-09,Assembly,1,"Introduced. To print."
1385864,2020-12-10,Assembly,2,"From printer."
1385864,2021-04-15,Assembly,3,"Referred to Com. on RLS."
1385864,2021-04-15,Assembly,4,"From committee chair, with author's amendments: Amend, and re-refer to Com. on RLS. Amended."
1385864,2021-04-19,Assembly,5,"Re-referred to Com. on RLS."
1385864,2021-04-22,Assembly,6,"From committee: Be adopted. Ordered to Third Reading. (Ayes 12. Noes 0.) (April 22)."
1385864,2021-04-26,Assembly,7,"Coauthors revised."
1385864,2021-04-26,Assembly,8,"Adopted and to Senate."
1385864,2021-04-27,Senate,9,"In Senate. To Com. on RLS."
1385864,2021-05-05,Senate,10,"From committee: Ordered to third reading."
1385865,2020-12-09,Assembly,1,Introduced.
1385866,2020-12-09,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1385866,2020-12-10,Senate,2,"From printer. May be acted upon on or after January 9."
1385866,2021-01-11,Senate,3,"Read first time."
1385866,2021-01-28,Senate,4,"Referred to Com. on PUB. S."
1385866,2021-02-17,Senate,5,"Set for hearing March 9."
1385866,2021-03-09,Senate,6,"From committee: Do pass. Ordered to consent calendar. (Ayes 4. Noes 0. Page 423.) (March 9)."
1385866,2021-03-10,Senate,7,"Read second time. Ordered to consent calendar."
1385866,2021-03-22,Senate,8,"Read third time. Passed. (Ayes 37. Noes 0. Page 569.) Ordered to the Assembly."
1385866,2021-03-22,Assembly,9,"In Assembly. Read first time. Held at Desk."
1385866,2021-05-13,Assembly,10,"Referred to Com. on PUB. S."
1386879,2020-12-10,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1386879,2020-12-11,Senate,2,"From printer. May be acted upon on or after January 10."
1386879,2021-01-11,Senate,3,"Read first time."
1386879,2021-01-28,Senate,4,"Referred to Com. on RLS."
1386879,2021-03-10,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1386879,2021-03-18,Senate,6,"Re-referred to Com. on INS."
1386879,2021-03-25,Senate,7,"Set for hearing April 8."
1386879,2021-04-08,Senate,8,"From committee: Do pass and re-refer to Com. on APPR with recommendation: To consent calendar. (Ayes 12. Noes 0.) (April 8). Re-referred to Com. on APPR."
1386879,2021-04-09,Senate,9,"Set for hearing April 19."
1386879,2021-04-15,Senate,10,"April 19 hearing postponed by committee."
1386879,2021-04-21,Senate,11,"Set for hearing May 3."
1386879,2021-05-04,Senate,12,"May 3 hearing: Placed on APPR suspense file."
1386879,2021-05-14,Senate,13,"Set for hearing May 20."
1386880,2020-12-10,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1386880,2020-12-11,Senate,2,"From printer. May be acted upon on or after January 10."
1386880,2021-01-11,Senate,3,"Read first time."
1386880,2021-01-28,Senate,4,"Referred to Com. on PUB. S."
1386880,2021-02-17,Senate,5,"Set for hearing March 9."
1386880,2021-03-09,Senate,6,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 3. Noes 1. Page 423.) (March 9). Re-referred to Com. on APPR."
1386880,2021-03-12,Senate,7,"Set for hearing March 22."
1386880,2021-03-22,Senate,8,"From committee: Be ordered to second reading pursuant to Senate Rule 28.8."
1386880,2021-03-23,Senate,9,"Read second time. Ordered to third reading."
1386880,2021-04-12,Senate,10,"Read third time. Passed. (Ayes 25. Noes 10.) Ordered to the Assembly."
1386880,2021-04-12,Assembly,11,"In Assembly. Read first time. Held at Desk."
1386880,2021-05-13,Assembly,12,"Referred to Com. on PUB. S."
1386881,2020-12-10,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1386881,2020-12-11,Senate,2,"From printer. May be acted upon on or after January 10."
1386881,2021-01-11,Senate,3,"Read first time."
1386881,2021-01-28,Senate,4,"Referred to Com. on B., P. & E.D."
1386881,2021-02-02,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on B., P. & E.D."
1386881,2021-03-11,Senate,6,"Set for hearing April 19."
1386881,2021-03-11,Senate,7,"April 19 set for first hearing canceled at the request of author."
1386881,2021-03-11,Senate,8,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on B., P. & E.D."
1387073,2020-12-11,Assembly,1,"Introduced. To print."
1387073,2020-12-12,Assembly,2,"From printer. May be heard in committee January 11."
1387073,2021-01-11,Assembly,3,"Read first time."
1387073,2021-01-11,Assembly,4,"Referred to Com. on E.S. & T.M."
1387073,2021-04-05,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on E.S. & T.M. Read second time and amended."
1387073,2021-04-06,Assembly,6,"Re-referred to Com. on E.S. & T.M."
1387073,2021-04-07,Assembly,7,"Coauthors revised."
1387073,2021-04-07,Assembly,8,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 8. Noes 0.) (April 7). Re-referred to Com. on APPR."
1387073,2021-04-14,Assembly,9,"In committee: Set, first hearing. Referred to APPR. suspense file."
1387074,2020-12-11,Assembly,1,"Introduced. To print."
1387074,2020-12-12,Assembly,2,"From printer. May be heard in committee January 11."
1387074,2021-01-11,Assembly,3,"Read first time."
1387074,2021-01-11,Assembly,4,"Referred to Com. on ED."
1387074,2021-03-24,Assembly,5,"In committee: Set, first hearing. Hearing canceled at the request of author."
1387074,2021-04-13,Assembly,6,"From committee: Amend, and do pass as amended and re-refer to Com. on APPR. (Ayes 5. Noes 2.) (April 7)."
1387074,2021-04-14,Assembly,7,"Read second time and amended."
1387074,2021-04-15,Assembly,8,"Re-referred to Com. on APPR."
1387074,2021-04-28,Assembly,9,"In committee: Set, first hearing. Referred to APPR. suspense file."
1387075,2020-12-11,Assembly,1,"Introduced. To print."
1387075,2020-12-12,Assembly,2,"From printer. May be heard in committee January 11."
1387075,2021-01-11,Assembly,3,"Read first time."
1387075,2021-01-11,Assembly,4,"Referred to Coms. on HIGHER ED. and ED."
1387075,2021-03-15,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on HIGHER ED. Read second time and amended."
1387075,2021-03-16,Assembly,6,"Re-referred to Com. on HIGHER ED."
1387075,2021-03-24,Assembly,7,"From committee: Amend, and do pass as amended and re-refer to Com. on ED. (Ayes 12. Noes 0.) (March 24)."
1387075,2021-03-25,Assembly,8,"Read second time and amended."
1387075,2021-03-26,Assembly,9,"Re-referred to Com. on ED."
1387076,2020-12-11,Assembly,1,"Introduced. To print."
1387076,2020-12-12,Assembly,2,"From printer. May be heard in committee January 11."
1387076,2021-01-11,Assembly,3,"Read first time."
1387076,2021-01-11,Assembly,4,"Referred to Coms. on HIGHER ED. and ED."
1387076,2021-03-24,Assembly,5,"In committee: Set, first hearing. Hearing canceled at the request of author."
1387077,2020-12-11,Assembly,1,"Introduced. To print."
1387077,2020-12-12,Assembly,2,"From printer. May be heard in committee January 11."
1387077,2021-01-11,Assembly,3,"Read first time."
1387077,2021-01-11,Assembly,4,"Referred to Com. on ED."
1387077,2021-01-12,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1387077,2021-01-13,Assembly,6,"Re-referred to Com. on ED."
1387077,2021-01-21,Assembly,7,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1387077,2021-01-25,Assembly,8,"Re-referred to Com. on ED."
1387077,2021-01-27,Assembly,9,"In committee: Hearing postponed by committee."
1387077,2021-03-16,Assembly,10,"From committee chair, with author's amendments: Amend, and re-refer to Com. on ED. Read second time and amended."
1387077,2021-03-17,Assembly,11,"Re-referred to Com. on ED."
1387077,2021-03-26,Assembly,12,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 7. Noes 0.) (March 24). Re-referred to Com. on APPR."
1387077,2021-04-07,Assembly,13,"From committee: Amend, and do pass as amended. (Ayes 14. Noes 0.) (April 7)."
1387077,2021-04-08,Assembly,14,"Read second time and amended. Ordered returned to second reading."
1387077,2021-04-12,Assembly,15,"Read second time. Ordered to third reading."
1387077,2021-04-15,Assembly,16,"Read third time. Urgency clause adopted. Passed. Ordered to the Senate."
1387077,2021-04-15,Senate,17,"In Senate. Read first time. To Com. on RLS. for assignment."
1387077,2021-05-12,Senate,18,"Referred to Com. on ED."
1387347,2020-12-14,Assembly,1,"Introduced. To print."
1387347,2020-12-15,Assembly,2,"From printer. May be heard in committee January 14."
1387347,2021-01-11,Assembly,3,"Read first time."
1387347,2021-01-11,Assembly,4,"Referred to Com. on P.E. & R."
1387347,2021-03-01,Assembly,5,"From committee chair, with author's amendments: Amend, and re-refer to Com. on P.E. & R. Read second time and amended."
1387347,2021-03-02,Assembly,6,"Re-referred to Com. on P.E. & R."
1387347,2021-04-21,Assembly,7,"From committee chair, with author's amendments: Amend, and re-refer to Com. on P.E. & R. Read second time and amended."
1387347,2021-04-22,Assembly,8,"Re-referred to Com. on P.E. & R."
1387347,2021-04-30,Assembly,9,"Coauthors revised."
1387347,2021-05-03,Assembly,10,"From committee: Do pass and re-refer to Com. on APPR. (Ayes 5. Noes 1.) (April 29). Re-referred to Com. on APPR."
1387347,2021-05-03,Assembly,11,"Received by the Desk April 30 pursuant to Joint Rule 61(a)(2)."
1387347,2021-05-12,Assembly,12,"In committee: Set, first hearing. Referred to APPR. suspense file."
1387348,2020-12-14,Assembly,1,"Introduced. To print."
1387348,2020-12-15,Assembly,2,"From printer."
1387348,2021-02-12,Assembly,3,"Referred to Com. on RLS."
1387349,2020-12-14,Assembly,1,"Introduced. To print."
1387349,2020-12-15,Assembly,2,"From printer."
1387349,2021-01-28,Assembly,3,"Referred to Com. on RLS."
1387349,2021-05-06,Assembly,4,"From committee: Be adopted. Ordered to Third Reading. (Ayes 11. Noes 0.) (May 6)."
1387349,2021-05-10,Assembly,5,"Coauthors revised."
1387349,2021-05-10,Assembly,6,"Adopted and to Senate."
1387349,2021-05-11,Senate,7,"In Senate. To Com. on RLS."
1387350,2020-12-14,Assembly,1,"Introduced. To print."
1387350,2020-12-15,Assembly,2,"From printer."
1387350,2021-01-28,Assembly,3,"Referred to Com. on RLS."
1387684,2020-12-15,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1387684,2020-12-16,Senate,2,"From printer. May be acted upon on or after January 15."
1387684,2021-01-11,Senate,3,"Read first time."
1387684,2021-01-28,Senate,4,"Referred to Com. on RLS."
1387684,2021-03-03,Senate,5,"From committee with author's amendments. Read second time and amended. Re-referred to Com. on RLS."
1387684,2021-03-11,Senate,6,"Re-referred to Com. on PUB. S."
1387684,2021-03-24,Senate,7,"Set for hearing April 27."
1387684,2021-04-27,Senate,8,"April 27 set for first hearing canceled at the request of author."
1387685,2020-12-15,Senate,1,"Introduced. To Com. on RLS. for assignment. To print."
1387685,2020-12-16,Senate,2,"From printer. May be acted upon on or after January 15."
1387685,2021-01-11,Senate,3,"Read first time."
